Vehicle_ID,Frame_ID,Tot_Frames,Epoch_ms,Local_X,Local_Y,Global_X,Global_Y,Veh_Len,Veh_Wid,Veh_Class,Veh_Velocity,Vehicle_Acc,Lane_ID,Org_Zone,Dest_Zone,Intersection,Section,Direction,Movement,Preceding_Veh,Following_Veh,Spacing,Headway
2,29,1707,1163033200,8.695,235.155,2230541.536,1375765.856,14.0,7.0,2,16.59,-5.03,0,102,214,1,0,2,3,0,0,0.0,0.0
6,5,31,1163030800,-2.673,2072.5660000000003,2230786.8819999998,1377530.554,19.1,6.5,2,27.25,0.0,11,114,213,5,0,4,2,0,0,0.0,0.0
8,8,9,1163031100,-24.211,135.28,2230491.531,1375670.642,14.6,6.8,2,29.49,0.0,2,123,201,0,1,4,1,0,11,0.0,0.0
11,77,1242,1163038000,-9.721,1533.161,2230824.519,1376994.136,15.0,7.0,2,13.62,-1.94,1,120,201,0,4,4,1,0,0,0.0,0.0
13,43,597,1163034600,12.338,231.94799999999998,2230544.437,1375762.4130000002,14.5,7.0,2,20.01,-12.27,0,102,203,1,0,2,3,0,0,0.0,0.0
15,45,1713,1163034800,11.939,33.508,2230519.3219999997,1375566.2769999998,18.0,7.0,2,17.29,0.0,1,101,214,0,1,2,1,2,0,233.92,13.53
17,60,1717,1163036300,13.185,18.734,2230519.819,1375553.2480000001,15.5,7.0,2,25.79,0.0,1,101,214,0,1,2,1,15,0,37.12,1.44
21,88,209,1163039100,23.705,27.500999999999998,2230530.563,1375559.3369999998,18.0,7.0,2,23.83,0.0,2,101,202,0,1,2,1,0,0,0.0,0.0
22,132,27,1163043500,-5.4239999999999995,2056.036,2230786.6890000002,1377513.8169999998,15.4,7.1,2,14.27,4.88,0,115,214,5,0,2,2,0,0,0.0,0.0
24,145,206,1163044800,24.406,34.537,2230531.832,1375566.293,18.0,7.0,2,15.84,0.0,2,101,202,0,1,2,1,21,0,75.9,4.79
25,154,439,1163045700,-23.526999999999997,710.237,2230557.6569999997,1376243.75,16.0,6.5,2,18.98,-4.05,0,122,202,2,0,4,3,0,0,0.0,0.0
27,152,21,1163045500,-14.819,2048.633,2230778.5409999997,1377505.044,14.9,6.8,2,12.33,0.0,1,115,214,5,0,2,2,0,0,0.0,0.0
28,176,968,1163047900,-24.49,707.846,2230556.27,1376241.574,13.0,6.6,2,20.63,0.99,0,122,202,2,0,4,3,0,0,0.0,0.0
29,154,1144,1163045700,9.805,2113.03,2230788.997,1377572.9119999998,3.5,6.5,1,28.15,0.0,1,114,201,0,6,4,1,0,13,0.0,0.0
31,175,24,1163047800,-4.513999999999999,2052.15,2230788.181,1377510.129,16.6,6.9,2,20.18,-1.96,0,115,214,5,0,2,2,0,0,0.0,0.0
33,190,17,1163049300,-23.201,136.222,2230492.614,1375671.499,14.2,6.4,2,11.13,0.0,0,123,201,1,0,4,3,0,0,0.0,0.0
36,202,1395,1163050500,23.022,16.547,2230529.7630000003,1375551.612,16.6,7.0,2,29.97,0.0,2,101,215,0,1,2,1,24,0,75.71,2.53
39,202,1598,1163050500,12.001,16.837,2230518.7430000002,1375551.2880000002,15.0,7.0,2,1.19,0.0,1,101,214,0,1,2,1,17,0,23.75,19.96
42,231,936,1163053400,-20.955,704.882,2230559.1969999997,1376237.995,12.5,6.5,2,18.76,-5.35,0,122,202,2,0,4,3,0,0,0.0,0.0
45,299,57,1163060200,22.127,2076.78,2230810.745,1377538.513,12.1,7.1,2,15.78,0.0,2,113,214,5,0,2,3,0,2,0.0,0.0
49,320,36,1163062300,16.689,2076.578,2230805.372,1377537.42,16.4,7.2,2,19.26,10.02,0,113,214,5,0,2,3,0,0,0.0,0.0
