iterationNumber,MeanTravelTime,WarmUpTime,CarsInSimulationCount,CarsAcrossCorridorCount
0,130.453,100.22222222222223,86,13
1,128.722,100.22222222222223,83,14
2,129.299,100.22222222222223,84,13
3,126.806,100.22222222222223,82,12
4,132.222,100.22222222222223,81,13
5,129.972,100.22222222222223,83,16
6,132.222,100.22222222222223,79,11
7,122.222,167.22222222222223,81,5
8,128.131,100.22222222222223,83,11
9,132.404,100.22222222222223,77,11
10,114.889,162.22222222222223,77,3
11,133.022,100.22222222222223,80,10
12,135.889,100.22222222222223,84,15
13,128.622,100.22222222222223,78,10
14,125.556,100.22222222222223,78,12
15,131.222,100.22222222222223,86,16
16,131.915,100.22222222222223,82,13
17,126.639,100.22222222222223,81,12
18,131.281,100.22222222222223,81,17
19,130.937,100.22222222222223,81,14
20,127.472,162.22222222222223,75,4
21,127.722,100.22222222222223,83,14
22,123.079,162.22222222222223,77,7
23,133.556,100.22222222222223,83,12
24,127.222,100.22222222222223,85,14
25,132.859,100.22222222222223,83,11
26,130.991,100.22222222222223,80,13
27,128.422,100.22222222222223,79,15
28,128.915,100.22222222222223,83,13
29,131.389,100.22222222222223,78,12
30,128.151,100.22222222222223,89,14
31,126.289,100.22222222222223,79,15
32,131.056,100.22222222222223,82,12
33,123.222,162.22222222222223,85,5
34,129.575,100.22222222222223,88,17
35,128.889,167.22222222222223,79,6
36,126.035,100.22222222222223,83,16
37,120.622,162.22222222222223,80,5
38,125.222,100.22222222222223,85,16
39,124.376,100.22222222222223,85,13
40,130.489,100.22222222222223,81,15
41,133.949,104.22222222222223,85,11
42,129.859,100.22222222222223,82,11
43,129.322,100.22222222222223,82,10
44,131.222,100.22222222222223,78,13
45,130.722,100.22222222222223,78,10
46,126.222,100.22222222222223,77,12
47,131.167,100.22222222222223,87,18
48,128.794,100.22222222222223,83,14
49,128.607,100.22222222222223,84,13
