iterationNumber,MeanTravelTime,WarmUpTime,CarsInSimulationCount,CarsAcrossCorridorCount
0,129.022,100.22222222222223,76,15
1,130.822,100.22222222222223,81,15
2,130.097,100.22222222222223,82,16
3,126.634,100.22222222222223,71,17
4,128.535,100.22222222222223,81,16
5,127.91,100.22222222222223,77,16
6,129.579,100.22222222222223,78,14
7,127.622,100.22222222222223,80,15
8,129.591,100.22222222222223,81,19
9,131.458,100.22222222222223,81,17
10,128.299,100.22222222222223,78,13
11,128.889,100.22222222222223,80,18
12,129.444,100.22222222222223,80,18
13,129.91,100.22222222222223,81,16
14,129.156,100.22222222222223,78,15
15,129.489,100.22222222222223,76,15
16,129.869,100.22222222222223,79,17
17,131.756,100.22222222222223,76,15
18,130.634,100.22222222222223,77,17
19,127.693,100.22222222222223,83,17
20,129.944,100.22222222222223,77,18
21,128.906,100.22222222222223,82,19
22,126.579,100.22222222222223,79,14
23,130,100.22222222222223,78,18
24,129.838,100.22222222222223,78,13
25,127.611,100.22222222222223,83,18
26,129.869,100.22222222222223,80,17
27,127.472,100.22222222222223,77,16
28,131.928,100.22222222222223,82,17
29,130.41,100.22222222222223,81,16
30,128.012,100.22222222222223,81,19
31,125.41,100.22222222222223,76,16
32,126.81,100.22222222222223,79,17
33,131.16,100.22222222222223,82,16
34,128.928,100.22222222222223,82,17
35,131.16,100.22222222222223,78,16
36,131.299,100.22222222222223,77,13
37,132.722,100.22222222222223,81,14
38,132.556,100.22222222222223,81,24
39,129.222,100.22222222222223,85,17
40,132.693,100.22222222222223,80,17
41,127.097,100.22222222222223,78,16
42,130.972,100.22222222222223,79,16
43,126.689,100.22222222222223,76,15
44,128.586,100.22222222222223,77,11
45,130.444,100.22222222222223,87,18
46,130.889,100.22222222222223,79,15
47,128.356,100.22222222222223,77,15
48,132.889,100.22222222222223,77,15
49,129.16,100.22222222222223,80,16
50,130.285,100.22222222222223,80,16
51,127.865,100.22222222222223,83,14
52,129.34,100.22222222222223,83,17
53,129.035,100.22222222222223,78,16
54,128.597,100.22222222222223,83,16
55,127.489,100.22222222222223,79,15
56,129.222,100.22222222222223,77,14
57,130.987,100.22222222222223,81,17
58,126.105,100.22222222222223,82,17
59,129.278,100.22222222222223,83,18
60,132.022,100.22222222222223,78,15
61,133.444,100.22222222222223,81,18
62,130.433,100.22222222222223,78,19
63,126.634,100.22222222222223,80,17
64,127.472,100.22222222222223,77,16
65,130.022,100.22222222222223,79,15
66,128.16,100.22222222222223,82,16
67,127.151,100.22222222222223,78,14
68,127.684,100.22222222222223,81,13
69,132.575,100.22222222222223,80,17
70,126.079,100.22222222222223,77,14
71,127.722,100.22222222222223,80,16
72,128.749,100.22222222222223,79,19
73,128.66,100.22222222222223,76,16
74,127.91,100.22222222222223,79,16
75,127.677,100.22222222222223,81,11
76,131.035,100.22222222222223,71,16
77,130.222,100.22222222222223,79,17
78,130.022,100.22222222222223,80,15
79,128.035,100.22222222222223,82,16
80,127.991,100.22222222222223,75,13
81,131.289,100.22222222222223,77,15
82,132.347,100.22222222222223,80,16
83,129.008,100.22222222222223,76,14
84,129.833,100.22222222222223,86,18
85,129.222,100.22222222222223,80,19
86,131.66,100.22222222222223,83,16
87,128.437,100.22222222222223,83,14
88,129.987,100.22222222222223,79,17
89,130.556,100.22222222222223,78,15
90,129.389,100.22222222222223,81,18
91,132.222,100.22222222222223,77,15
92,128.16,100.22222222222223,77,16
93,131.597,100.22222222222223,80,16
94,130.801,100.22222222222223,88,19
95,130.046,100.22222222222223,82,17
96,130.151,100.22222222222223,72,14
97,130.689,100.22222222222223,82,15
98,129.489,100.22222222222223,81,15
99,128.278,100.22222222222223,80,18
100,126.785,100.22222222222223,83,16
101,129.987,100.22222222222223,84,17
102,129.847,100.22222222222223,77,16
103,129.607,100.22222222222223,76,13
104,127.889,100.22222222222223,77,15
105,129.16,100.22222222222223,78,16
106,130.222,100.22222222222223,84,19
107,126.622,100.22222222222223,84,15
108,126.794,100.22222222222223,77,14
109,131.53,100.22222222222223,77,13
110,131.444,100.22222222222223,83,18
111,127.035,100.22222222222223,80,16
